DAY,WND,CIG,VIS,TMP,DEW,SLP
2014-01-01,"(295.50690078308253, 29.373933433007146)",19032.727272727272,8511.111111111111,3.5781818181818177,-14.119642857142859,1016.7625
2014-01-02,"(0.39777999565694777, 17.263294255334362)",20445.714285714286,6976.086956521739,1.8428571428571427,-8.70892857142857,1018.425
2014-01-03,"(44.01742442947101, 12.950575223673708)",240.0,16818.0,1.7375,-12.319642857142856,1024.0375000000001
2014-01-04,"(4.732297024271522, 18.168838494211165)",20611.063829787236,3820.3703703703704,-2.7285714285714286,-7.575000000000001,1022.15
2014-01-05,"(57.44196382071774, 9.710077174320356)",13036.727272727272,6860.526315789473,0.7374999999999999,-9.673214285714286,1026.1374999999998
2014-01-06,"(118.36950915692435, 9.269955290035208)",5913.235294117647,2692.5925925925926,-1.480357142857143,-5.560714285714286,1025.4375
2014-01-07,"(10.75063742851972, 34.46103530525722)",15472.0,13340.0,-0.21428571428571433,-16.864285714285714,1029.4625
2014-01-08,"(326.59320663635657, 36.51717976265773)",240.0,29500.0,-4.194545454545454,-23.776363636363634,1033.8625000000002
2014-01-09,"(317.3207817731424, 21.348451713994823)",240.0,17750.0,-5.269642857142857,-24.716363636363635,1031.475
2014-01-10,"(310.3375223052463, 5.065030486446308)",18373.333333333332,7881.818181818182,-4.319642857142857,-21.941071428571426,1031.5
2014-01-11,"(334.2861266795792, 20.03212203446895)",19098.666666666668,8521.052631578947,-1.3839285714285714,-21.20363636363636,1031.5749999999998
2014-01-12,"(323.5806821904359, 11.893350834270239)",19032.727272727272,10296.296296296296,-3.767857142857143,-22.28928571428571,1035.875
2014-01-13,"(24.74128721518905, 11.69854878795244)",20720.0,6281.818181818182,-4.723214285714286,-18.735714285714288,1032.125
2014-01-14,"(269.66534050475025, 3.213514349696238)",21320.0,6080.555555555556,-3.7777777777777777,-17.049999999999997,1034.2125
2014-01-15,"(61.30394037833257, 3.3347797713519167)",19894.1935483871,4075.0,-0.975,-13.847272727272728,1029.575
2014-01-16,"(124.89398670691878, 18.100674923007993)",20720.0,3148.214285714286,-0.3767857142857142,-7.951785714285713,1029.4499999999998
2014-01-17,"(312.4904675600985, 24.23963740281624)",14746.666666666666,5892.307692307692,-0.049999999999999996,-16.39423076923077,1032.3000000000002
2014-01-18,"(145.98746982694416, 15.132169551157565)",20186.666666666668,6621.951219512195,0.625,-13.512962962962964,1031.8125
2014-01-19,"(319.16304298348473, 51.93602809780957)",19582.222222222223,6406.25,0.39999999999999997,-14.9,1024.7
2014-01-20,"(325.62925293290954, 73.32611107830085)",240.0,30000.0,-0.7727272727272727,-21.85818181818182,1032.1875
2014-01-21,"(261.63315373331415, 2.191767904118385)",19894.1935483871,7519.444444444444,-2.5767857142857147,-20.364285714285717,1030.0375
2014-01-22,"(28.39209546333255, 9.009865616776016)",20720.0,4945.454545454545,-2.4589285714285714,-17.155357142857145,1022.3125
2014-01-23,"(3.0787394912711834, 18.349843040438135)",20720.0,3010.714285714286,-1.6785714285714286,-12.475,1015.6125
2014-01-24,"(9.011940701244388, 25.312296374512588)",17648.0,5450.0,3.242857142857143,-18.67142857142857,1020.075
2014-01-25,"(63.23797878384295, 16.96483675414535)",240.0,13624.5,0.9428571428571428,-15.873214285714283,1030.3874999999998
2014-01-26,"(156.85815532702188, 15.013741214164783)",19280.0,6048.275862068966,-1.9392857142857143,-10.508928571428571,1025.0625
2014-01-27,"(354.5685377918395, 35.12649970798494)",19161.739130434784,7832.142857142857,1.6107142857142858,-17.95714285714286,1022.375
2014-01-28,"(157.33387720111918, 21.668275377756334)",14746.666666666666,8171.428571428572,-0.9053571428571429,-11.664285714285713,1025.25
2014-01-29,"(8.835381702537747, 14.761589522764071)",20481.86046511628,4837.5,-1.3107142857142857,-10.262500000000001,1013.9875000000001
2014-01-30,"(105.64891123593671, 17.065187328156192)",17470.473684210527,7281.25,1.7375000000000003,-15.169642857142858,1019.625
2014-01-31,"(13.382650489346227, 14.068857958111765)",20715.29411764706,3960.714285714286,1.5178571428571428,-5.348214285714286,1019.05
2014-02-01,"(170.5645712866843, 11.685580324510536)",1575.88,3132.1428571428573,2.539285714285714,-2.055357142857143,1014.5999999999999
2014-02-02,"(352.57856492605214, 59.67291019874582)",13840.0,15653.846153846154,3.4410714285714286,-24.633999999999997,1018.875
2014-02-03,"(329.3774174258019, 50.53093252337044)",240.0,27500.0,-2.494642857142857,-33.33636363636363,1028.675
2014-02-04,"(323.5166664123447, 11.650197811628715)",20854.736842105263,8916.666666666666,-3.4482142857142857,-28.516363636363632,1029.725
2014-02-05,"(135.6927807049013, 7.473235126908022)",20326.153846153848,6247.727272727273,-3.392857142857143,-14.090909090909092,1028.85
2014-02-06,"(138.58754810737616, 15.596606121898974)",16941.04,6694.545454545455,-1.2232142857142858,-11.257142857142854,1030.3625000000002
2014-02-07,"(119.29267124185249, 19.537923586804858)",965.1176470588235,2458.9285714285716,-3.8017857142857143,-6.389285714285714,1026.0625
2014-02-08,"(346.9085557739142, 44.00208733259192)",12674.285714285714,16107.692307692309,-4.480357142857143,-17.089285714285715,1031.5875
2014-02-09,"(345.0480418715679, 31.5930053497881)",240.0,23500.0,-6.226785714285714,-20.869642857142853,1036.9875
2014-02-10,"(120.0247328708517, 3.3688896825025756)",16978.46153846154,10683.333333333334,-6.5375000000000005,-18.196428571428573,1033.4125
2014-02-11,"(339.4424606737891, 3.812639382484506)",20326.153846153848,4850.0,-5.110714285714287,-14.446428571428571,1028.7875
